text,true_label,predicted_label_svm,predicted_label_bert,predicted_label_roberta
@user @user what do these '1/2 naked pics' have to do with anything? They're not even like that.,neutral,negative,negative,negative
"@user Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.",negative,neutral,positive,neutral
Survey shows Poroshenko has lost considerable electoral support in two years,neutral,negative,negative,negative
"So that Westworld show, it isn't too bad. I guess. If you like that sort of thing.",neutral,negative,positive,positive
"@user it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)",negative,neutral,positive,neutral
#Putin has had it with #Obama and has decided to throw #America out of #Syria negotiationshttp,neutral,negative,negative,negative
"With James Comey in office, how could the US investigate the Russians? @user @user @user @user",negative,neutral,neutral,neutral
This isn't the 1st time @user & the #Hamas supporting #IntifadaBrigade mock disasters/terror attacks while p…,neutral,negative,negative,negative
Come on Electoral College. Please do your job. Majority of Americans do not want @user This is NOT the f…,neutral,positive,negative,negative
CNN weeps for their erstwhile hero Fidel Castro.,negative,positive,neutral,neutral
"@user it's free with insurance because of Obamacare, which trump wants to repeal 🙃",negative,neutral,neutral,neutral
"Okay, @user I think I've got my #GilmoreGirlsTop4: Max, Jess, Luke, Sookie",neutral,positive,positive,positive
@user Wow...this is one deadly statement! Reminding me of the Greta Muhammad Ali.,positive,neutral,negative,negative
i bought it for kh3 and persona 5 and ffxiv (tho i havent touched that in months,positive,neutral,neutral,neutral
Drop 75% Price: £7.88. Paperback: The Gay & Lesbian Marriage & Family Reader: Analyses of Problems and Prospe...,negative,neutral,neutral,neutral
"@user Stay right here, buddy. There are lots of nasty women and bad hombres that are staying too.",neutral,negative,negative,negative
"Suarez on twitter: ""YNWA #StevenGerrard"" [@user] #FCBlive",positive,neutral,neutral,neutral
"@user sadly, Putin has won big time over the past 10-15 years. His biggest triumph being the election of his proxy @user",positive,negative,negative,neutral
@user deadline for WI is today and hoping your people are on it and NOT this lying Putin loving scammer,neutral,negative,negative,negative
@user same (praise Kim Jong-un),positive,neutral,neutral,neutral
4. One last time - #ArianaGrandehttp,positive,neutral,neutral,neutral
Dady is slaying the game of abs.AMÈM LIAM PAYNE #MtvStarsNiallHoran #MPN #OneDirection,neutral,positive,positive,positive
Soz but u can't protest against animal testing if you eat meat & dairy. Laboratories are like a vacation compared to meat & dairy farms.,neutral,positive,negative,negative
Thousands flee Raqqa as Turkish-Kurdish tensions threaten anti-IS campaign #ISIS,neutral,negative,negative,negative
Worthy Read~,neutral,positive,positive,positive
"""who's the most wiped out white boy? Zac Efron! Zac Efron!""",neutral,negative,negative,positive
Steve Bannon Should Stay out of White House: Attorneys,negative,neutral,neutral,neutral
Catching up on TWD #amc #TheWalkingDead,positive,neutral,neutral,neutral
@user Marion Le Pen has also accepted stolen wine from Crimea and agreed to new winemaking partnership #Sanctions #CrimeaIsUkraine,negative,neutral,neutral,neutral
".@user @user Answers? What are the Qs?Problem is voter suppression, not vote chicanery.Focus on the former, not the latter.",neutral,negative,negative,negative
@user they have some bad hombres working tonight?,neutral,negative,negative,negative
"IFC signed agreement with Bank of #Palestine to scale up lending operations to smaller firms, especially women-owne…",positive,neutral,neutral,neutral
#Buzzfeed is using #BIGOTED #ReligiousTest! #ChipGaines #JoannaGaines #HGTV #Christian,negative,neutral,neutral,neutral
Westworld and our increasingly wired sense of eroticism,positive,neutral,neutral,neutral
@user Legal terminology for opposing gay marriage? Homo MatrimOHNO,negative,neutral,neutral,neutral
What would The [un] @user & Conservatives say if @user or @user did a secret deal to give $300miln to WA? #auspol,negative,neutral,neutral,neutral
Fast food companies spend $2B advertising to children each year. How's a parent to compete? #NationalFastFoodDay,negative,neutral,neutral,neutral
"Comey’s letter swung public opinion, it would not have cost her the election. Voter suppression did that.",negative,neutral,neutral,neutral
Smart roads are the companion self-driving cars need.,neutral,positive,positive,positive
"@user A fine on that level does not really make much difference, does it 😔 #fracking destroys #environment @user",neutral,negative,negative,negative
"The deplorables will have an awesome four year long hangover, think salt and hemroids, head in a sack bar of (cont)",negative,neutral,positive,neutral
"@user @user @user Great, so how far will you comply? Just squeeze a little more gun control?Ban angled foregrips, fudd?",negative,positive,neutral,neutral
"""Focusing on [alt rightists'] respectability...makes white supremacy appear normal and acceptable.""",neutral,positive,positive,negative
@user The Clinton Crime Foundation got everyone wanting to Pay to Play!,negative,neutral,neutral,neutral
FCBarcelona: Arda Turan missed Friday's training session at the Ciutat Esportiva due to a fever #FCBlive,neutral,negative,negative,negative
Spirit of my silence i can hear you. But im afraid to be near you. #ThisIsUs 😍😍😍,positive,neutral,neutral,neutral
Why does everything need a #remake? Enjoy the #classics! #BeautyandtheBeast #TheBradyBunch,neutral,positive,positive,positive
"Link in bio - Come on The Walking Dead, get it together. #TheWalkingDead",positive,negative,neutral,neutral
"$2 Mil a DAY to protect Trump et al, because Melania doesn't want to move to DC, & Trumpkins wants to ""go home""",negative,neutral,neutral,neutral
@user only Marine le Pen seems pleased! Very concerning for Europe. Hope some heads start to really work in Brussels!,neutral,positive,positive,negative
"@user Imagining a credible threat, can they force him to sit down for the briefing? ""Look son, some bad hombres wanna get you...""0",neutral,negative,negative,negative
"The thrill of seeing a wheelchair user in a movie doing boring, meaningless things that have nothing to do with euthanasia.",negative,neutral,neutral,neutral
"Let's stop parsing.Just as #AltRight = Nazi, populist = anti-immigrant white supremacist. This is simple, irrefutable historical fact.",neutral,negative,negative,negative
#Tigers #Memorabilia 2013 DETROIT TIGERS TICKET LOT OF 3 vs WHITE SOX CABRERA VERLANDER VGC L@@user! #Vintage #Sports,positive,neutral,neutral,neutral
@user @user I'm retiring from twitter,negative,neutral,neutral,neutral
Watch Tesla Model S P85D’s instant speed avoid a potential rear-end collision,positive,neutral,neutral,neutral
Trump hit by media for choosing billionaires for Cabinet - Member of transition team Anthony Scaramucci weighs ...,negative,neutral,neutral,neutral
Neymar Jr leads the #UCL for assists - seven so far. We've got plenty more stats where that came from:…,neutral,positive,positive,positive
its always valentines with this one #BabySelcaDay,neutral,positive,positive,positive
Top story: TekUniverse Slashes Prices On The DreamCreator 3D Printing Pen For T… see more,positive,neutral,neutral,neutral
"Dear NO voters, are you celebrating your victory? So are Nigel Farage and Marine Le Pen. Enjoy the lovely company. #ItalyReferendum",negative,positive,positive,positive
"So Fidel is dead, but can someone enlighten me as to what's next?? Venezuelans rejoiced when Chavez died, but Maduro's just as bad/worse.",neutral,negative,negative,negative
8 Dangerous Side Effects of Fracking That the Industry Doesn't Want You to Hear About | Alternethttp,neutral,negative,negative,negative
"@user @user wow!! How awful! I thought this was next because of transgender acceptance, not gay marriage. Great video! #pizzagate",neutral,positive,positive,negative
"""Kim Fatty the Third""",negative,neutral,neutral,neutral
@user @user @user @user @user ummm vaccines have avoided over 700000 deaths since the nineties...,positive,negative,neutral,neutral
@user @user put an embargo on FRANCE like you do other countries like Cuba,negative,neutral,neutral,neutral
first date dream: take me to an anti-trump protest,negative,neutral,neutral,neutral
Jill STEIN WHY YOU DO ME A FAVOR GO RECOUNT FIDEL CASTRO S BALLS,negative,neutral,neutral,neutral
Lauren Graham Responds To Lin-Manuel Miranda's 'Gilmore Girls' tweet - beautiful!@user @user,neutral,positive,positive,positive
Join me in supporting Foster Campbell via @user #UniteBlue #LibCrib,neutral,positive,positive,positive
"@user they are, i can't even wear them more than a day. & Revlon does animal testing. Any other brands?",negative,positive,neutral,neutral
Chinese scientists convert infectious viruses into live vaccines to tackle deadly viruses,positive,neutral,neutral,neutral
Harlem Salutes Fidel Castro -- Tribute and Farewell From Black Community,neutral,positive,positive,positive
@user @user @user you act like they are going to give us the death penalty so there is a middle ground,neutral,negative,negative,negative
for White Supremacists/Nationalists/Alt-Rightists their central hope for the future is a return to a past as it never quite was,negative,neutral,neutral,neutral
Sharon needles is doing Melania trump n the crowd is chanting CULEERAA,negative,neutral,neutral,neutral
Kim Fatty the Third 😂😂😂😂 China has excelled itself this time 👌,negative,neutral,positive,positive
The externalities when Linux Foundation joins #microsoft GNUOpponents of #swpatsVictims of Microsoft's patent extortion campaignTruth,negative,neutral,neutral,neutral
@user Mr. Arici didn't even pretend to donate to charity while paying to undermine our country with a dictator?,neutral,negative,negative,negative
"@user Herein lies the problem Conway said ""he is well aware of what US POLICY has been"" this was a deliberate act like Cuba Embargo",neutral,negative,negative,negative
"At United, there are great traditions, which you can't buy in o... #CristianoRonaldo #citations",neutral,positive,positive,positive
Facebook has banned modeling pictures of Melania Knauss Trump,negative,neutral,neutral,neutral
1D One Direction 22 inch Two Tone Teddy Bear with Varsity Jacket #1d #onedirection,positive,neutral,neutral,neutral
#UnitedNations what's the point just another talking shop.. running around shaking a stick .. as much good as a scarecrow. No notice taken,negative,neutral,positive,positive
<-A Very Sexy Lesbian Couple. A & J #nsfw #bath #bubble #onedirection,neutral,positive,positive,positive
UK government rejects MPs' criticism of #Libya intervention,neutral,negative,negative,negative
@user #hatchimals yes please!,neutral,positive,positive,positive
RE: Christian Ronaldo's new hair: It's been worse. #Mensstyle #Mensfashion,neutral,negative,negative,negative
So true. #DrainTheSwamp & start with #NeverRomney. @user,neutral,positive,positive,positive
"@user ah I have a few! Persona 5, South Park, Horizon, Detroit and RDR2! Far too many haha.",neutral,positive,positive,positive
"@user it's a joke, but maybe don't be the biggest sweetheart to kim jong un",negative,positive,neutral,neutral
@user Already have massive voter suppression.,neutral,negative,negative,negative
A French photographer has #3Dprinted a camera lens and maintained the quality of his photos - @user,positive,neutral,neutral,neutral
"""As liberals raised fears about hacked voting machines..""Months after the donald did.#AuditTheVotehttp via @user",negative,neutral,neutral,neutral
It's always odd to me when ppl / analysts say this ... it's like saying The Royals Bullpen should win Cy Young,negative,neutral,neutral,neutral
"@user Yeah, ima respect this Admin as much as they respected Obama's",negative,positive,positive,positive
How the #uber case will help local taxi firms in the UK - #uberdriver #taxi #transport #jobs #wages #bristol,positive,neutral,neutral,neutral
I think its so interesting that half of Cubans are mourning the loss of Fidel Castro while the other half are celebrating,negative,positive,positive,positive
@user You deplorables haven't been saying Merry Christmas because you thought you weren't allowed...bwahahahaha now that's funny! 😂😂😂,neutral,negative,positive,negative
Interesting that recounts are only in states where Trump won. What about #TheWalkingDead? California should be main…,negative,positive,positive,neutral
@user Democrats will always b on the defensive. Warren said she would protest changes Trump seeks 2 make 2 the agency she helped create.,negative,neutral,neutral,neutral
#WESTWORLD Dolores is MF Wyatt mutherfuckerrrrrrr I don't think I've guessed one MF thing I love shows like this,negative,positive,positive,positive
haghtag-MyFAMILYWEIR my stepgrandma facial features=FBI Director Comey(Jap decendent)=bothR Jap SPIES. W appointed Comey=DUMMY or INSIDIOUS?,negative,neutral,neutral,neutral
"Venezuela: Maduro calls for ""rebellion of Venezuelan women"": Thousands of people took the streets of Caracas on…",neutral,negative,negative,negative
I mean. He won't try to kill her and that's probably the worse thing for him. #Westworld,neutral,negative,negative,negative
Quick favor - how to politely end conversation with an over chatty #uber driver?,positive,neutral,neutral,neutral
"It is time we Georgians did not depend only on others, it is tim... #MikheilSaakashvili #quotes",positive,negative,neutral,neutral
Grayson Allen could sneeze and someone would get charged with a foul for giving him a cold,neutral,negative,negative,negative
lmao at all the libs who are worried about whats gonna happen to gun control... my dudes we are way past that level of effete value signals,neutral,negative,negative,negative
"@user NICOLAS MADURO Y CILIA FLORES AMONG OTHERS, MANAGE THE INTERNATIONAL DRUG TRAFFICKING FROM THE PRESIDENTIAL PALACE(MIRAFLORES).",negative,neutral,neutral,neutral
@user @user but also Michael Moore. Weird mix.,negative,neutral,neutral,neutral
@user lol alright alright,neutral,positive,positive,positive
"Pelosi and Warren met with George Soros last weekend. Now a recount really,Jill Stein how much did Soros pay you to ask for this recount?",negative,neutral,neutral,neutral
"@user why ""almost Latina"" Hillary did not already work this for you #epicfail Hope they release him! #FreeOscarLopezRivera",neutral,positive,negative,negative
Wikileaks: Clinton Foundation Inside Information Raises Questions About Bill Clinton | TIME,negative,neutral,neutral,neutral
Pray for Aleppo! O God please help these people! 😔,neutral,positive,positive,positive
"President-elect Trump could make big bucks from Dakota Access Pipeline, @user reports",negative,neutral,neutral,neutral
"Remember, it always comes in three's ... Florence Henderson, Fidel Castro and the next will be .......Cross your fi…",negative,neutral,neutral,neutral
"It was a law placed to overturn the Denton Fracking Ban (tx), that didn't let fracking around schools or where people live",negative,neutral,neutral,neutral
How #deeplearning is powering video #SEO:,positive,neutral,neutral,neutral
@user @user @user Bank bailouts. Same thing happened to Obama admin.,negative,neutral,neutral,neutral
#TrumpTransitionTeam pie chart to applicants: Those NOT in the #HUGE slice - need not applyMe: #foh #ftw…,negative,neutral,neutral,neutral
Michelle Obama- Girl's Education- Brilliant- Role ModelMelania Trump- Nothing- Stole speech- Married Trump <-- that's saying enough,negative,positive,positive,neutral
Ash y Shay han pasado juntas Thanksgiving <3,positive,negative,neutral,neutral
Yes I support equality for ALL and love gay marriage LAW. No you won't overturn it because you are scared of the LG…,neutral,negative,positive,positive
#KobeBryant #Cards 2011 Panini Gold Standard Kobe Bryant Rare Auto Lakers Jersey On Card #17/49… #Kobe #Card #Deals,positive,negative,neutral,neutral
I be mad Terry birthday in the same week as Christmas but dead ass be laughing when Valentines Day roll around an my birthday the next week,neutral,positive,positive,negative
"@user I'm really asking. Are any GOP leaders demanding investigations? For that matter, anyone in Obama admin pledging action? 1/",negative,neutral,neutral,neutral
